id,name,age,job,location,originalRole,roundStates
0,Jack Marriner-Brown,24,Market trader and landscaper,"Bridlington, England",Faithful,"[{""episode"":1,""status"":""Eliminated"",""role"":""Faithful""}]"
1,Yin Lü,34,Doctor of Communication,"Reading, England",Faithful,"[{""episode"":1,""status"":""Murdered"",""role"":""Faithful""}]"
2,Nathan Khider,39,Property consultant,"London, England",Faithful,"[{""episode"":2,""status"":""Banished"",""role"":""Faithful""}]"
3,Keith Stewart,65,Window cleaner,"Bournemouth, England",Faithful,"[{""episode"":2,""status"":""Murdered"",""role"":""Faithful""}]"
4,Elen Wyn,24,Translator,"Cardiff, Wales",Faithful,"[{""episode"":2,""status"":""Banished"",""role"":""Faithful""}]"
5,Armani Gouveia,27,Financial investigator,"London, England",Traitor,"[{""episode"":3,""status"":""Banished"",""role"":""Traitor""}]"
6,Maia Gouveia,25,Stay at home mum,"Epping, England",Faithful,"[{""episode"":4,""status"":""Murdered"",""role"":""Faithful""}]"
7,Kasim Ahmed,33,Doctor,"Cambridge, England",Faithful,"[{""episode"":4,""status"":""Banished"",""role"":""Faithful""}]"
8,Tyler Smith,29,Barber,"Leicester, England",Faithful,"[{""episode"":5,""status"":""Banished"",""role"":""Faithful""}]"
9,"Olivia ""Livi"" Deane",26,Beautician and model,"Horsham, England",Faithful,"[{""episode"":6,""status"":""Murdered"",""role"":""Faithful""}]"
10,Dan Bird,33,Bank risk manager,"Liverpool, England",Faithful,"[{""episode"":6,""status"":""Banished"",""role"":""Faithful""}]"
11,Fozia Fazil,50,Community development manager,"Birmingham, England",Faithful,"[{""episode"":7,""status"":""Murdered"",""role"":""Faithful""}]"
12,Linda Rands,70,Retired opera singer,"Hitchin, England",Traitor,"[{""episode"":7,""status"":""Banished"",""role"":""Traitor""}]"
13,Anna Duke,28,Swimming teacher,"Blessington, Ireland",Faithful,"[{""episode"":8,""status"":""Murdered"",""role"":""Faithful""}]"
14,Alex Oleksy,29,Care manager,"Whitby, England",Faithful,"[{""episode"":8,""status"":""Banished"",""role"":""Faithful""}]"
15,Lisa Coupland,62,Anglican priest,"Mawgan-in-Meneage, England",Faithful,"[{""episode"":9,""status"":""Murdered"",""role"":""Faithful""}]"
16,Leon Jackman,40,Retail store manager,"Ilkeston, England",Faithful,"[{""episode"":9,""status"":""Banished"",""role"":""Faithful""}]"
17,Joe Scott,37,English teacher,"Southampton, England",Faithful,"[{""episode"":10,""status"":""Murdered"",""role"":""Faithful""}]"
18,Minah Shannon,29,Call centre manager,"Liverpool, England",Traitor,"[{""episode"":10,""status"":""Banished"",""role"":""Traitor""}]"
19,Freddie Fraser,20,Politics student,"Peterborough, England",Traitor,"[{""episode"":11,""status"":""Banished"",""role"":""Traitor""}]"
20,Charlotte Berman,32,Business director,"Basingstoke, England",Traitor,"[{""episode"":12,""status"":""Banished"",""role"":""Traitor""}]"
21,Alexander Dragonetti,38,Former British diplomat,"London, England",Faithful,"[{""episode"":12,""status"":""Banished"",""role"":""Faithful""}]"
22,Francesca Rowan-Plowden,44,Interior designer,"Rye, England",Faithful,"[{""episode"":12,""status"":""Banished"",""role"":""Faithful""}]"
23,Jake Brown,28,"Project manager, and former CP football player.","Barrow-in-Furness, England",Faithful,"[{""episode"":12,""status"":""Winner"",""role"":""Faithful""}]"
24,Leanne Quigley,28,Former soldier,"Holywell, Wales",Faithful,"[{""episode"":12,""status"":""Winner"",""role"":""Faithful""}]"
