name,progress
Jake,"{""1"":""Safe"",""2"":""Elen"",""3"":""Armani"",""4"":""Kasim"",""5"":""Tyler"",""6"":""Linda"",""7"":""Linda"",""8"":""Alex"",""9"":""Francesca"",""10"":""Freddie"",""11"":""Freddie"",""12"":""Charlotte""}"
Leanne,"{""1"":""Safe"",""2"":""Charlotte"",""3"":""Armani"",""4"":""Freddie"",""5"":""Tyler"",""6"":""Dan"",""7"":""Linda"",""8"":""Alex"",""9"":""Francesca"",""10"":""Alexander"",""11"":""Freddie"",""12"":""Charlotte""}"
Francesca,"{""1"":""Safe"",""2"":""Kasim"",""3"":""Maia"",""4"":""Freddie"",""5"":""Tyler"",""6"":""Alex"",""7"":""Leanne"",""8"":""Alex"",""9"":""Leon"",""10"":""Minah"",""11"":""Freddie"",""12"":""Charlotte""}"
Alexander,"{""1"":""Safe"",""2"":""Eliminated"",""3"":""Eliminated"",""4"":""Safe"",""5"":""Lisa"",""6"":""Linda"",""7"":""Leanne"",""8"":""Alex"",""9"":""Leon"",""10"":""Minah"",""11"":""Freddie"",""12"":""Charlotte""}"
Charlotte,"{""1"":""Safe"",""2"":""Kasim"",""3"":""Kasim"",""4"":""Anna"",""5"":""Tyler"",""6"":""Linda"",""7"":""Linda"",""8"":""Leon"",""9"":""Leon"",""10"":""Minah"",""11"":""Freddie"",""12"":""Francesca""}"
Freddie,"{""1"":""Safe"",""2"":""Elen"",""3"":""Armani"",""4"":""Kasim"",""5"":""Tyler"",""6"":""Dan"",""7"":""Linda"",""8"":""Alex"",""9"":""Leon"",""10"":""Minah"",""11"":""Charlotte"",""12"":""Banished""}"
Minah,"{""1"":""Safe"",""2"":""Charlotte"",""3"":""Armani"",""4"":""Kasim"",""5"":""Tyler"",""6"":""Dan"",""7"":""Linda"",""8"":""Alex"",""9"":""Francesca"",""10"":""Freddie"",""11"":""Banished"",""12"":""Banished""}"
Joe,"{""1"":""Safe"",""2"":""Kasim"",""3"":""Kasim"",""4"":""Kasim"",""5"":""Tyler"",""6"":""Linda"",""7"":""Linda"",""8"":""Alex"",""9"":""Leon"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Leon,"{""1"":""Safe"",""2"":""Elen"",""3"":""Armani"",""4"":""Kasim"",""5"":""Tyler"",""6"":""Dan"",""7"":""Linda"",""8"":""Alex"",""9"":""Francesca"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Lisa,"{""1"":""Safe"",""2"":""Francesca"",""3"":""Joe"",""4"":""Anna"",""5"":""Tyler"",""6"":""Dan"",""7"":""Alexander"",""8"":""Leon"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Alex,"{""1"":""Safe"",""2"":""Elen"",""3"":""Armani"",""4"":""Anna"",""5"":""Tyler"",""6"":""Dan"",""7"":""Leanne"",""8"":""Freddie"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Anna,"{""1"":""Safe"",""2"":""Elen"",""3"":""Kasim"",""4"":""Kasim"",""5"":""Lisa"",""6"":""Alex"",""7"":""Minah"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Linda,"{""1"":""Safe"",""2"":""Elen"",""3"":""Jake"",""4"":""Anna"",""5"":""Tyler"",""6"":""Fozia"",""7"":""Alexander"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Fozia,"{""1"":""Safe"",""2"":""Eliminated"",""3"":""Eliminated"",""4"":""Safe"",""5"":""Lisa"",""6"":""Dan"",""7"":""Murdered"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Dan,"{""1"":""Safe"",""2"":""Freddie"",""3"":""Armani"",""4"":""Anna"",""5"":""Tyler"",""6"":""Leanne"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Livi,"{""1"":""Safe"",""2"":""Elen"",""3"":""Armani"",""4"":""Freddie"",""5"":""Freddie"",""6"":""Murdered"",""7"":""Murdered"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Tyler,"{""1"":""Safe"",""2"":""Elen"",""3"":""Armani"",""4"":""Kasim"",""5"":""Freddie"",""6"":""Banished"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Kasim,"{""1"":""Safe"",""2"":""Charlotte"",""3"":""Freddie"",""4"":""Freddie"",""5"":""Banished"",""6"":""Banished"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Maia,"{""1"":""Safe"",""2"":""Elen"",""3"":""Freddie"",""4"":""Murdered"",""5"":""Murdered"",""6"":""Murdered"",""7"":""Murdered"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Armani,"{""1"":""Safe"",""2"":""Charlotte"",""3"":""Charlotte"",""4"":""Banished"",""5"":""Banished"",""6"":""Banished"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Elen,"{""1"":""Safe"",""2"":""Linda"",""3"":""Banished"",""4"":""Banished"",""5"":""Banished"",""6"":""Banished"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Keith,"{""1"":""Safe"",""2"":""Murdered"",""3"":""Murdered"",""4"":""Murdered"",""5"":""Murdered"",""6"":""Murdered"",""7"":""Murdered"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Nathan,"{""1"":""Safe"",""2"":""Banished"",""3"":""Banished"",""4"":""Banished"",""5"":""Banished"",""6"":""Banished"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Yin,"{""1"":""Safe"",""2"":""Murdered"",""3"":""Murdered"",""4"":""Murdered"",""5"":""Murdered"",""6"":""Murdered"",""7"":""Murdered"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Jack,"{""1"":""Safe"",""2"":""Eliminated"",""3"":""Eliminated"",""4"":""Eliminated"",""5"":""Eliminated"",""6"":""Eliminated"",""7"":""Eliminated"",""8"":""Eliminated"",""9"":""Eliminated"",""10"":""Eliminated"",""11"":""Eliminated"",""12"":""Eliminated""}"
