id,name,age,job,location,originalRole,roundStates
0,Aubrey Emerson,67,Retired shop owner,"Loughborough, England",Faithful,"[{""episode"":2,""status"":""Murdered"",""role"":""Faithful""}]"
1,Sonja Clarke,66,Volunteer business mentor,"Poulton-le-Fylde, England",Faithful,"[{""episode"":2,""status"":""Banished"",""role"":""Faithful""}]"
2,Kyra Johnson,21,Apprentice economist,"Kent, England",Faithful,"[{""episode"":3,""status"":""Murdered"",""role"":""Faithful""}]"
3,Brian Davidson,33,Photographer,"Glasgow, Scotland",Faithful,"[{""episode"":4,""status"":""Banished"",""role"":""Faithful""}]"
4,Ash Bibi,45,Events coordinator,"London, England",Traitor,"[{""episode"":5,""status"":""Banished"",""role"":""Traitor""}]"
5,Meg Corrick,22,Illustrator,"Hereford, England",Faithful,"[{""episode"":5,""status"":""Murdered"",""role"":""Faithful""}]"
6,Jonny Holloway,31,Ex-military,"Luton, England",Faithful,"[{""episode"":5,""status"":""Banished"",""role"":""Faithful""}]"
7,Tracey Griffin,58,Sonographer & clairvoyant,"Inverness, Scotland",Faithful,"[{""episode"":6,""status"":""Murdered"",""role"":""Faithful""}]"
8,Anthony Mathurin,44,Chess coach,"Birmingham, England",Faithful,"[{""episode"":6,""status"":""Banished"",""role"":""Faithful""}]"
9,Diane Carson,63,Retired teacher,"Lytham St Annes, England",Faithful,"[{""episode"":7,""status"":""Murdered"",""role"":""Faithful""}]"
10,Miles Asteri,37,Veterinary nurse,"Worcester, England",Traitor,"[{""episode"":7,""status"":""Banished"",""role"":""Traitor""}]"
11,Paul Gorton,36,Business manager,"Manchester, England",Traitor,"[{""episode"":8,""status"":""Banished"",""role"":""Traitor""}]"
12,Charlie Bees,34,Mental health area manager,"Bristol, England",Faithful,"[{""episode"":9,""status"":""Murdered"",""role"":""Faithful""}]"
13,Charlotte Chilton,32,Recruitment manager,"Atherstone, England",Faithful,"[{""episode"":9,""status"":""Banished"",""role"":""Faithful""}]"
14,Ross Carson,28,Video director,"Lytham St Annes, England",Traitor,"[{""episode"":10,""status"":""Banished"",""role"":""Traitor""}]"
15,Zack Davies,27,Parliamentary affairs advisor,"London, England",Faithful,"[{""episode"":11,""status"":""Murdered"",""role"":""Faithful""}]"
16,Jasmine Boatswain,26,Sales executive,"London, England",Faithful,"[{""episode"":11,""status"":""Banished"",""role"":""Faithful""}]"
17,Evie Morrison,29,Veterinary nurse,"Inverness, Scotland",Faithful,"[{""episode"":12,""status"":""Banished"",""role"":""Faithful""}]"
18,Andrew Jenkins,45,Insurance broker,"Talbot Green, Wales",Traitor,"[{""episode"":12,""status"":""Banished"",""role"":""Traitor""}]"
19,Jaz Singh,30,National account manager,"Manchester, England",Faithful,"[{""episode"":12,""status"":""Banished"",""role"":""Faithful""}]"
20,Mollie Pearce,21,Disability model,"Bristol, England",Faithful,"[{""episode"":12,""status"":""RunnerUp"",""role"":""Faithful""}]"
21,Harry Clark,22,British army engineer,"Slough, England",Traitor,"[{""episode"":12,""status"":""Winner"",""role"":""Traitor""}]"
